Id,CNPJ,CPF,Nome,Ativo,Recadastrado,Município,UF,Natureza Jurídica,Porte da Empresa,Ramo do Negócio,Unidade Cadastradora,CNAE,CNAE Secundário,Habilitado a Licitar
1,00.000.000/0001-91,,BANCO DO BRASIL SA,Sim,,97012: BRASÍLIA,DF,9: SOCIEDADE DE ECONOMIA MISTA,2: null,,,"6422100: BANCOS MÚLTIPLOS, COM CARTEIRA COMERCIAL",,Sim
4,00.000.028/0001-29,,TARGET ENGENHARIA E CONSULTORIA LTDA.,Sim,,71072: São Paulo,SP,2: SOCIEDADE EMPRESÁRIA LIMITADA,2: null,,,6203100: DESENVOLVIMENTO E LICENCIAMENTO DE PROGRAMAS DE COMPUTADOR NÃO-CUSTOMIZÁVEIS,,Sim
5,00.000.155/0001-28,,COUPLING SERVICO DE MANUTENCAO LTDA,Não,,71072: São Paulo,SP,2: SOCIEDADE EMPRESÁRIA LIMITADA,2: null,,,3314701: MANUTENÇÃO E REPARAÇÃO DE MÁQUINAS MOTRIZES NÃO-ELÉTRICAS,,Sim
6,00.000.166/0001-08,,IRMAOS RODOPOULOS LTDA,Sim,,97012: BRASÍLIA,DF,2: SOCIEDADE EMPRESÁRIA LIMITADA,2: null,,,4120400: CONSTRUÇÃO DE EDIFÍCIOS,,Sim
8,00.000.208/0001-00,,BRB BANCO DE BRASILIA SA,Sim,,97012: BRASÍLIA,DF,9: SOCIEDADE DE ECONOMIA MISTA,2: null,,,"6422100: BANCOS MÚLTIPLOS, COM CARTEIRA COMERCIAL",,Sim
9,00.000.341/0001-67,,C.C ENGENHARIA CONSULTIVA E PROJETOS DE AR CONDICIONADO LTDA,Não,,71072: São Paulo,SP,2: SOCIEDADE EMPRESÁRIA LIMITADA,2: null,,,"4322302: INSTALAÇÃO E MANUTENÇÃO DE SISTEMAS CENTRAIS DE AR CONDICIONADO, DE VENTILAÇÃO E REFRIGERAÇÃO",,Sim
11,00.000.424/0001-56,,DEBRITO BRASIL COMUNICACAO LTDA,Sim,,71072: São Paulo,SP,2: SOCIEDADE EMPRESÁRIA LIMITADA,2: null,,,7311400: AGÊNCIAS DE PUBLICIDADE,,Sim
12,00.000.424/0003-18,,DEBRITO BRASIL COMUNICACAO LTDA,Sim,,97012: BRASÍLIA,DF,2: SOCIEDADE EMPRESÁRIA LIMITADA,2: null,,,7311400: AGÊNCIAS DE PUBLICIDADE,,Sim
14,,***.007.562-**,VANDERLEI BATALHA DOS SANTOS FILHO,Sim,,2550: Manaus,AM,,1: MICROEMPRESA,,,,,Sim
15,00.000.802/0017-69,,HC PNEUS S/A,Sim,,25313: Recife,PE,48: SOCIEDADE ANÔNIMA FECHADA,2: null,,,4530702: COMÉRCIO POR ATACADO DE PNEUMÁTICOS E CÂMARAS-DE-AR,,Sim
23,00.001.172/0001-80,,SA CORREIO BRAZILIENSE,Sim,,97012: BRASÍLIA,DF,48: SOCIEDADE ANÔNIMA FECHADA,2: null,,,5822101: EDIÇÃO INTEGRADA À IMPRESSÃO DE JORNAIS DIÁRIOS,,Sim
25,,***.012.001-**,JULIANO DERLLY EICHELT,Sim,,99252: Lucas do Rio Verde,MT,,1: MICROEMPRESA,,,,,Sim
29,00.001.388/0001-45,,DISTRIBUIDORA BRASILIA DE VEICULOS S/A,Não,,97012: BRASÍLIA,DF,48: SOCIEDADE ANÔNIMA FECHADA,2: null,,,4530703: COMÉRCIO A VAREJO DE PEÇAS E ACESSÓRIOS NOVOS PARA VEÍCULOS AUTOMOTORES,,Sim
30,00.001.388/0002-26,,DISTRIBUIDORA BRASILIA DE VEICULOS S/A,Não,,97012: BRASÍLIA,DF,48: SOCIEDADE ANÔNIMA FECHADA,2: null,,,4731800: COMÉRCIO VAREJISTA DE COMBUSTÍVEIS PARA VEÍCULOS AUTOMOTORES,,Sim
32,00.001.388/0005-79,,DISTRIBUIDORA BRASILIA DE VEICULOS S/A,Não,,97012: BRASÍLIA,DF,48: SOCIEDADE ANÔNIMA FECHADA,2: null,,,"4511101: COMÉRCIO A VAREJO DE AUTOMÓVEIS, CAMIONETAS E UTILITÁRIOS NOVOS",,Sim
33,00.001.453/0001-32,,CINE FOTO GB LTDA,Não,,97012: BRASÍLIA,DF,2: SOCIEDADE EMPRESÁRIA LIMITADA,2: null,,,4789008: COMÉRCIO VAREJISTA DE ARTIGOS FOTOGRÁFICOS E PARA FILMAGEM,,Sim
35,00.001.714/0001-14,,SATELITE MAQUINAS E MOVEIS PARA ESCRITORIO LTDA,Não,,70998: São José dos Campos,SP,2: SOCIEDADE EMPRESÁRIA LIMITADA,2: null,,,4789007: COMÉRCIO VAREJISTA DE EQUIPAMENTOS PARA ESCRITÓRIO,,Sim
38,00.001.891/0001-09,,CASA PLANETA DE BRASILIA MAQUINAS E FERRAGENS LTDA,Sim,,97012: BRASÍLIA,DF,2: SOCIEDADE EMPRESÁRIA LIMITADA,2: null,,,4744099: COMÉRCIO VAREJISTA DE MATERIAIS DE CONSTRUÇÃO EM GERAL,,Sim
41,00.002.329/0001-91,,FERRAGENS PINHEIRO LTDA,Sim,,97012: BRASÍLIA,DF,2: SOCIEDADE EMPRESÁRIA LIMITADA,2: null,,,4744001: COMÉRCIO VAREJISTA DE FERRAGENS E FERRAMENTAS,,Sim
44,00.002.776/0001-40,,DEUTSCHEBRAS COMERCIAL E ENGENHARIA LTDA,Sim,,71072: São Paulo,SP,2: SOCIEDADE EMPRESÁRIA LIMITADA,2: null,,,4759899: COMÉRCIO VAREJISTA DE OUTROS ARTIGOS DE USO PESSOAL E DOMÉSTICO NÃO ESPECIFICADOS ANTERIORMENTE,,Sim
49,00.003.228/0001-35,,MOTO AGRICOLA SLAVIERO SA,Sim,,97012: BRASÍLIA,DF,48: SOCIEDADE ANÔNIMA FECHADA,2: null,,,"4511101: COMÉRCIO A VAREJO DE AUTOMÓVEIS, CAMIONETAS E UTILITÁRIOS NOVOS",,Sim
50,00.003.228/0002-16,,MOTO AGRICOLA SLAVIERO SA,Sim,,97012: BRASÍLIA,DF,48: SOCIEDADE ANÔNIMA FECHADA,2: null,,,"4511101: COMÉRCIO A VAREJO DE AUTOMÓVEIS, CAMIONETAS E UTILITÁRIOS NOVOS",,Sim
52,,***.034.287-**,ANA BEATRIZ FERNANDES CERBINO,Sim,,58653: Niterói,RJ,,1: MICROEMPRESA,,,,,Sim
54,00.004.035/0001-07,,PROSAT COMUNICACOES LTDA,Não,,67890: Osasco,SP,2: SOCIEDADE EMPRESÁRIA LIMITADA,2: null,,,4752100: COMÉRCIO VAREJISTA ESPECIALIZADO DE EQUIPAMENTOS DE TELEFONIA E COMUNICAÇÃO,,Sim
