indice do pais,país,ano,métrica,emissão estimada de CO2, notas, fonte
1,"Total, all countries or areas",1975,Emissions (thousand metric tons of carbon dioxide),16042405,,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
1,"Total, all countries or areas",1985,Emissions (thousand metric tons of carbon dioxide),19348135,,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
1,"Total, all countries or areas",2005,Emissions (thousand metric tons of carbon dioxide),26638238,,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
1,"Total, all countries or areas",2010,Emissions (thousand metric tons of carbon dioxide),30044215,,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
1,"Total, all countries or areas",2015,Emissions (thousand metric tons of carbon dioxide),31468477,,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
1,"Total, all countries or areas",2019,Emissions (thousand metric tons of carbon dioxide),32852354,,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
1,"Total, all countries or areas",2020,Emissions (thousand metric tons of carbon dioxide),31239043,,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
1,"Total, all countries or areas",2021,Emissions (thousand metric tons of carbon dioxide),33147028,,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
1,"Total, all countries or areas",1975,Emissions per capita (Kilograms of carbon dioxide),3.9,,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
1,"Total, all countries or areas",1985,Emissions per capita (Kilograms of carbon dioxide),4.0,,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
1,"Total, all countries or areas",2005,Emissions per capita (Kilograms of carbon dioxide),4.1,,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
1,"Total, all countries or areas",2010,Emissions per capita (Kilograms of carbon dioxide),4.3,,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
1,"Total, all countries or areas",2015,Emissions per capita (Kilograms of carbon dioxide),4.2,,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
1,"Total, all countries or areas",2019,Emissions per capita (Kilograms of carbon dioxide),4.2,,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
1,"Total, all countries or areas",2020,Emissions per capita (Kilograms of carbon dioxide),4.0,,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
1,"Total, all countries or areas",2021,Emissions per capita (Kilograms of carbon dioxide),4.2,,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
2,Africa,1975,Emissions (thousand metric tons of carbon dioxide),319039,,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
2,Africa,1985,Emissions (thousand metric tons of carbon dioxide),609132,,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
2,Africa,2005,Emissions (thousand metric tons of carbon dioxide),933728,,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
2,Africa,2010,Emissions (thousand metric tons of carbon dioxide),1091787,,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
2,Africa,2015,Emissions (thousand metric tons of carbon dioxide),1196865,,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
2,Africa,2019,Emissions (thousand metric tons of carbon dioxide),1341546,,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
2,Africa,2020,Emissions (thousand metric tons of carbon dioxide),1225195,,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
2,Africa,2021,Emissions (thousand metric tons of carbon dioxide),1298787,,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
2,Africa,1975,Emissions per capita (Kilograms of carbon dioxide),0.8,,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
2,Africa,1985,Emissions per capita (Kilograms of carbon dioxide),1.1,,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
2,Africa,2005,Emissions per capita (Kilograms of carbon dioxide),1.0,,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
2,Africa,2010,Emissions per capita (Kilograms of carbon dioxide),1.0,,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
2,Africa,2015,Emissions per capita (Kilograms of carbon dioxide),1.0,,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
2,Africa,2019,Emissions per capita (Kilograms of carbon dioxide),1.0,,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
2,Africa,2020,Emissions per capita (Kilograms of carbon dioxide),0.9,,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
2,Africa,2021,Emissions per capita (Kilograms of carbon dioxide),0.9,,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
3,North America,1975,Emissions (thousand metric tons of carbon dioxide),4840300,,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
3,North America,1985,Emissions (thousand metric tons of carbon dioxide),4946639,,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
3,North America,2005,Emissions (thousand metric tons of carbon dioxide),6315585,,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
3,North America,2010,Emissions (thousand metric tons of carbon dioxide),5863367,,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
3,North America,2015,Emissions (thousand metric tons of carbon dioxide),5540715,,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
3,North America,2019,Emissions (thousand metric tons of carbon dioxide),5377206,,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
3,North America,2020,Emissions (thousand metric tons of carbon dioxide),4824919,,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
3,North America,2021,Emissions (thousand metric tons of carbon dioxide),5139680,,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
3,North America,1975,Emissions per capita (Kilograms of carbon dioxide),20.0,,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
3,North America,1985,Emissions per capita (Kilograms of carbon dioxide),18.5,,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
3,North America,2005,Emissions per capita (Kilograms of carbon dioxide),19.2,,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
3,North America,2010,Emissions per capita (Kilograms of carbon dioxide),17.0,,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
3,North America,2015,Emissions per capita (Kilograms of carbon dioxide),15.4,,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
3,North America,2019,Emissions per capita (Kilograms of carbon dioxide),14.5,,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
3,North America,2020,Emissions per capita (Kilograms of carbon dioxide),12.9,,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
3,North America,2021,Emissions per capita (Kilograms of carbon dioxide),13.7,,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
5,South America,1975,Emissions (thousand metric tons of carbon dioxide),609407,,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
5,South America,1985,Emissions (thousand metric tons of carbon dioxide),824577,,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
5,South America,2005,Emissions (thousand metric tons of carbon dioxide),1382217,,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
